,Optimal_Affected_Component_Uid,Optimal_Failure,ln
346,_SFLBB-cdEeet0YmmfbMwkw,CF2,4.3679
347,_SFLBB-cdEeet0YmmfbMwkw,CF2,4.3679
348,_SFLBB-cdEeet0YmmfbMwkw,CF2,4.3679
349,_SFLBB-cdEeet0YmmfbMwkw,CF2,4.3679
350,_SFLBrucdEeet0YmmfbMwkw,CF3,6.2158
351,_SFLBrucdEeet0YmmfbMwkw,CF3,6.2158
352,_SFLBrucdEeet0YmmfbMwkw,CF3,6.2158
353,_SFLnO-cdEeet0YmmfbMwkw,CF1,4.3769
354,_SFLnO-cdEeet0YmmfbMwkw,CF1,4.3769
355,_SFLnO-cdEeet0YmmfbMwkw,CF1,4.3769
356,_SFLnO-cdEeet0YmmfbMwkw,CF1,4.3769
357,_SFLnO-cdEeet0YmmfbMwkw,CF1,4.3769
358,_SFLnO-cdEeet0YmmfbMwkw,CF1,4.3769
359,_SFLnO-cdEeet0YmmfbMwkw,CF1,4.3769
360,_SFLnO-cdEeet0YmmfbMwkw,CF1,4.3769
361,_SFLnO-cdEeet0YmmfbMwkw,CF1,4.3769
362,_SFBPhucdEeet0YmmfbMwkw,CF2,5.6547
363,_SFBPhucdEeet0YmmfbMwkw,CF2,5.6547
364,_SFBPhucdEeet0YmmfbMwkw,CF2,5.6547
365,_SFBPhucdEeet0YmmfbMwkw,CF2,5.6547
366,_SFGwHecdEeet0YmmfbMwkw,CF1,3.0246
367,_SFGwHecdEeet0YmmfbMwkw,CF1,3.0246
368,_SFGwHecdEeet0YmmfbMwkw,CF1,3.0246
369,_SFNd2ecdEeet0YmmfbMwkw,CF2,2.4919
370,_SFNd2ecdEeet0YmmfbMwkw,CF2,2.4919
371,_SFNd2ecdEeet0YmmfbMwkw,CF2,2.4919
372,_SEyloOcdEeet0YmmfbMwkw,CF2,2.6754
373,_SEyloOcdEeet0YmmfbMwkw,CF2,2.6754
374,_SEyloOcdEeet0YmmfbMwkw,CF2,2.6754
375,_SFS9NecdEeet0YmmfbMwkw,CF2,2.3098
376,_SFS9NecdEeet0YmmfbMwkw,CF2,2.3098
377,_SFS9NecdEeet0YmmfbMwkw,CF2,2.3098
378,_SFMQD-cdEeet0YmmfbMwkw,CF1,4.3889
379,_SFMQD-cdEeet0YmmfbMwkw,CF1,4.3889
380,_SFMQD-cdEeet0YmmfbMwkw,CF1,4.3889
381,_SE_aXOcdEeet0YmmfbMwkw,CF2,7.1677
382,_SE_aXOcdEeet0YmmfbMwkw,CF2,7.1677
383,_SE_aXOcdEeet0YmmfbMwkw,CF2,7.1677
384,_SE_aXOcdEeet0YmmfbMwkw,CF2,7.1677
385,_SE8-WecdEeet0YmmfbMwkw,CF2,2.6574
386,_SE8-WecdEeet0YmmfbMwkw,CF2,2.6574
387,_SE8-WecdEeet0YmmfbMwkw,CF2,2.6574
388,_SE8XfecdEeet0YmmfbMwkw,CF1,4.2249
389,_SE8XfecdEeet0YmmfbMwkw,CF1,4.2249
390,_SE8XfecdEeet0YmmfbMwkw,CF1,4.2249
391,_SFDr3ecdEeet0YmmfbMwkw,CF3,29.752
392,_SFDr3ecdEeet0YmmfbMwkw,CF3,29.6184
393,_SFFgpOcdEeet0YmmfbMwkw,CF2,2.6974
394,_SFFgpOcdEeet0YmmfbMwkw,CF2,2.6974
395,_SFFgpOcdEeet0YmmfbMwkw,CF2,2.6974
396,_SFFgpOcdEeet0YmmfbMwkw,CF2,2.6974
397,_SFFgpOcdEeet0YmmfbMwkw,CF2,2.6974
398,_SFFgpOcdEeet0YmmfbMwkw,CF2,2.6974
399,_SFJyWecdEeet0YmmfbMwkw,CF2,2.8712
400,_SFJyWecdEeet0YmmfbMwkw,CF2,2.8712
401,_SFJyWecdEeet0YmmfbMwkw,CF2,2.8712
402,_SE8-HecdEeet0YmmfbMwkw,CF1,4.2199
403,_SE8-HecdEeet0YmmfbMwkw,CF1,4.2199
404,_SE8-HecdEeet0YmmfbMwkw,CF1,4.2199
405,_SFApIecdEeet0YmmfbMwkw,CF1,4.2749
406,_SFApIecdEeet0YmmfbMwkw,CF1,4.2749
407,_SFApIecdEeet0YmmfbMwkw,CF1,4.2749
408,_SFCd5ucdEeet0YmmfbMwkw,CF2,2.8522
409,_SFCd5ucdEeet0YmmfbMwkw,CF2,2.8522
410,_SFCd5ucdEeet0YmmfbMwkw,CF2,2.8522
411,_SEzNE-cdEeet0YmmfbMwkw,CF3,30.3919
412,_SEzNE-cdEeet0YmmfbMwkw,CF3,30.2377
413,_SFETFecdEeet0YmmfbMwkw,CF3,4.3199
414,_SFETFecdEeet0YmmfbMwkw,CF3,4.3199
