,Optimal_Affected_Component_Uid,Optimal_Failure,raw,cube,sqt,log10,ln,log2
1715,_SFGIQOcdEeet0YmmfbMwkw,CF2,636.0,349.9129,508.8284,289.9031,960.9107,788.2939
1716,_SFGI4OcdEeet0YmmfbMwkw,CF2,636.0,349.9129,939.2058,289.9031,960.9107,788.2939
1717,_SFGvCecdEeet0YmmfbMwkw,CF2,1275.3952,349.9129,939.2058,310.9031,738.4725,788.2939
1718,_SFGvqecdEeet0YmmfbMwkw,CF2,1275.3952,947.0982,939.2058,310.9031,738.4725,802.6711
1719,_SFGwSecdEeet0YmmfbMwkw,CF2,1275.3952,947.0982,1110.8543,310.9031,738.4725,802.4487
1720,_SFHWA-cdEeet0YmmfbMwkw,CF2,1275.3952,947.0982,1110.8543,248.8451,738.4725,802.1857
1721,_SFCd1OcdEeet0YmmfbMwkw,CF2,1275.3952,947.0982,1110.8543,248.8451,817.5629,802.1857
1722,_SFDEU-cdEeet0YmmfbMwkw,CF2,1457.664,947.0982,1160.9502,248.8451,817.5629,802.1857
1723,_SFDE8-cdEeet0YmmfbMwkw,CF2,1457.664,1082.5629,1160.9502,842.9818,802.5342,448.8803
1724,_SFDFk-cdEeet0YmmfbMwkw,CF2,1457.664,1082.5629,1160.9502,842.9818,802.38,448.8803
1725,_SFDr--cdEeet0YmmfbMwkw,CF2,1163.0459,1082.5629,1143.8543,842.9818,802.1977,448.8803
1726,_SFDsm-cdEeet0YmmfbMwkw,CF2,1163.0459,857.1045,1143.8543,842.9818,802.1977,769.5826
1727,_SFESm-cdEeet0YmmfbMwkw,CF2,1163.0459,857.1045,806.2058,842.9818,802.1977,769.5826
1728,_SFETO-cdEeet0YmmfbMwkw,CF2,1163.0459,857.1045,806.2058,976.5672,509.3829,769.5826
1729,_SFE6DOcdEeet0YmmfbMwkw,CF2,1266.3952,857.1045,806.2058,976.5672,509.3829,719.0502
1730,_SFFgpOcdEeet0YmmfbMwkw,CF2,1266.3952,885.2547,1220.8275,976.5672,509.3829,719.0502
1731,_SFFhROcdEeet0YmmfbMwkw,CF2,1905.2594,885.1092,1220.8275,753.5082,827.5629,189.0
1732,_SFFh5OcdEeet0YmmfbMwkw,CF2,1901.7594,885.3869,1126.8543,753.5082,827.5629,189.0
1733,_SFGILucdEeet0YmmfbMwkw,CF2,1908.7594,885.3869,1126.8543,753.5082,827.5629,189.0
1734,_SFGIzucdEeet0YmmfbMwkw,CF2,1908.7594,885.3869,1126.8543,753.5082,779.5007,618.8803
1735,_SFGu9-cdEeet0YmmfbMwkw,CF2,1908.7594,823.6252,584.8284,833.9818,779.5007,618.8803
1736,_SFGvl-cdEeet0YmmfbMwkw,CF2,3598.6534,823.4483,584.8284,833.9818,247.0794,618.8803
1737,_SFGwN-cdEeet0YmmfbMwkw,CF2,3592.3534,823.2504,584.8284,819.4632,247.0794,783.5826
1738,_SFHV8ecdEeet0YmmfbMwkw,CF2,3586.0534,823.2504,768.2058,819.3962,247.0794,783.5826
1739,_SE-zOOcdEeet0YmmfbMwkw,CF1,3586.0534,823.2504,768.2058,819.5212,679.3829,783.5826
1740,_SE-zxOcdEeet0YmmfbMwkw,CF3,3586.0534,628.0281,768.2058,819.5212,679.3829,838.1886
1741,_SFApEucdEeet0YmmfbMwkw,CF1,932.5459,628.0281,1037.4484,819.5212,679.3829,838.1886
1742,_SFGwBecdEeet0YmmfbMwkw,CF3,932.5459,628.0281,1037.4484,787.311,843.5629,838.1886
1743,_SFApC-cdEeet0YmmfbMwkw,CF1,932.5459,949.0982,1037.4484,787.2441,843.5629,812.5826
1744,_SFApR-cdEeet0YmmfbMwkw,CF3,1277.3952,949.0982,417.2361,787.1649,843.5629,812.5826
1745,_SFGwKOcdEeet0YmmfbMwkw,CF1,1277.3952,949.0982,417.2361,787.1649,911.9828,485.8803
1746,_SFESjOcdEeet0YmmfbMwkw,CF1,1277.3952,898.1289999999999,417.2361,787.1649,911.9828,485.8803
1747,_SFGwPecdEeet0YmmfbMwkw,CF3,1204.5459,898.1289999999999,791.2058,523.4693,911.9828,485.8803
1748,_SFESoecdEeet0YmmfbMwkw,CF3,1204.5459,367.0,791.2058,523.4693,874.5629,895.5271
1749,_SFApM-cdEeet0YmmfbMwkw,CF1,654.0,367.0,791.2058,523.4693,874.5629,895.5271
1750,_SFAoa-cdEeet0YmmfbMwkw,CF1,654.0,367.0,945.2058,844.9818,546.3829,795.5826
1751,_SFAojecdEeet0YmmfbMwkw,CF1,654.0,798.0281,945.2058,844.9818,546.3829,795.5826
1752,_SFAomOcdEeet0YmmfbMwkw,CF1,1102.5459,798.0281,945.2058,844.9818,546.3829,795.5826
1753,_SFCdn-cdEeet0YmmfbMwkw,CF3,1102.5459,798.0281,1239.8275,794.5205,951.9107,265.0
1754,_SFB2iucdEeet0YmmfbMwkw,CF2,1102.5459,967.0982,1239.8275,794.5205,951.9107,265.0
1755,_SFB3KucdEeet0YmmfbMwkw,CF1,1295.3952,967.0982,1239.8275,265.9031,857.5629,265.0
1756,_SFB2xucdEeet0YmmfbMwkw,CF2,1295.3952,967.0982,448.4495,265.9031,857.5629,447.8803
1757,_SFCdQOcdEeet0YmmfbMwkw,CF3,1295.3952,1013.5194,448.4495,265.9031,857.5629,447.8803
