,Optimal_Affected_Component_Uid,Optimal_Failure,sqt
1669,_SFFhvucdEeet0YmmfbMwkw,CF3,6.1458
1670,_SFFhvucdEeet0YmmfbMwkw,CF3,6.1458
1671,_SFACDOcdEeet0YmmfbMwkw,CF2,8.9913
1672,_SFACDOcdEeet0YmmfbMwkw,CF2,8.9913
1673,_SFACDOcdEeet0YmmfbMwkw,CF2,8.9913
1674,_SFLAZ-cdEeet0YmmfbMwkw,CF3,6.1858
1675,_SFLAZ-cdEeet0YmmfbMwkw,CF3,6.1858
1676,_SFLAZ-cdEeet0YmmfbMwkw,CF3,6.1858
1677,_SFJzYecdEeet0YmmfbMwkw,CF1,6.1698
1678,_SFJzYecdEeet0YmmfbMwkw,CF1,6.1698
1679,_SFJzYecdEeet0YmmfbMwkw,CF1,6.1698
1680,_SFJzYecdEeet0YmmfbMwkw,CF1,6.1698
1681,_SFJy5-cdEeet0YmmfbMwkw,CF2,3.4584
1682,_SFJy5-cdEeet0YmmfbMwkw,CF2,3.4584
1683,_SFJy5-cdEeet0YmmfbMwkw,CF2,3.4584
1684,_SFDsdecdEeet0YmmfbMwkw,CF3,6.1278
1685,_SFDsdecdEeet0YmmfbMwkw,CF3,6.1278
1686,_SFDsdecdEeet0YmmfbMwkw,CF3,6.1278
1687,_SFDsdecdEeet0YmmfbMwkw,CF3,6.1278
1688,_SFDsdecdEeet0YmmfbMwkw,CF3,6.1278
1689,_SFS8aOcdEeet0YmmfbMwkw,CF3,9.0433
1690,_SFS8aOcdEeet0YmmfbMwkw,CF3,9.0433
1691,_SFS8aOcdEeet0YmmfbMwkw,CF3,9.0433
1692,_SFS8aOcdEeet0YmmfbMwkw,CF3,9.0433
1693,_SFS8aOcdEeet0YmmfbMwkw,CF3,9.0433
1694,_SFOsE-cdEeet0YmmfbMwkw,CF1,9.0423
1695,_SFOsE-cdEeet0YmmfbMwkw,CF1,9.0423
1696,_SFOsE-cdEeet0YmmfbMwkw,CF1,9.0423
1697,_SE_a9OcdEeet0YmmfbMwkw,CF3,6.0548
1698,_SE_a9OcdEeet0YmmfbMwkw,CF3,6.0548
1699,_SE_a9OcdEeet0YmmfbMwkw,CF3,6.0548
1700,_SFApC-cdEeet0YmmfbMwkw,CF1,6.0948
1701,_SFApC-cdEeet0YmmfbMwkw,CF1,6.0948
1702,_SFApC-cdEeet0YmmfbMwkw,CF1,6.0948
1703,_SFApC-cdEeet0YmmfbMwkw,CF1,6.0948
1704,_SFApC-cdEeet0YmmfbMwkw,CF1,6.0948
1705,_SFApC-cdEeet0YmmfbMwkw,CF1,6.0948
1706,_SFGwBecdEeet0YmmfbMwkw,CF3,9.0103
1707,_SFGwBecdEeet0YmmfbMwkw,CF3,9.0103
1708,_SFGwBecdEeet0YmmfbMwkw,CF3,9.0103
1709,_SEuUcucdEeet0YmmfbMwkw,CF1,2.9495
1710,_SEuUcucdEeet0YmmfbMwkw,CF1,2.9495
1711,_SEuUcucdEeet0YmmfbMwkw,CF1,2.9495
1712,_SEwJt-cdEeet0YmmfbMwkw,CF1,4.4402
1713,_SEwJt-cdEeet0YmmfbMwkw,CF1,4.4402
1714,_SEwJt-cdEeet0YmmfbMwkw,CF1,4.4402
1715,_SFDFV-cdEeet0YmmfbMwkw,CF3,6.1188
1716,_SFDFV-cdEeet0YmmfbMwkw,CF3,6.1188
1717,_SFDFV-cdEeet0YmmfbMwkw,CF3,6.1188
1718,_SE2QWecdEeet0YmmfbMwkw,CF3,6.0238
